,ID,Severity_Binary,Start_Lat,Start_Lng,Distance(mi),Temperature(F),Humidity(%),Sunrise_Sunset,Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition,Traffic_Signal,Junction,Crossing,Hour,Day,Month,Year
39,A-40,1,40.007626,-82.912155,0.01,26.6,86.0,Night,29.62,1.5,8.1,0.01,Snow,0,0,0,5,9,2,2016
40,A-41,0,39.447502,-84.19120799999997,0.0,21.0,85.0,Night,29.67,0.8,9.2,0.01,Snow,0,0,1,5,9,2,2016
41,A-42,0,39.787731,-84.173439,0.01,23.0,86.0,Night,29.71,3.0,10.4,0.0,Snow,1,0,1,5,9,2,2016
42,A-43,0,39.426277,-83.624611,0.01,19.9,89.0,Night,29.75,1.8,13.8,0.0,Snow,0,0,0,5,9,2,2016
43,A-44,1,39.978305999999996,-82.852554,0.01,25.0,88.0,Night,29.65,1.0,9.2,0.02,Snow,0,1,0,6,9,2,2016
44,A-45,1,39.84182,-84.18960600000003,0.01,23.0,88.0,Night,29.66,2.0,15.0,0.0,Snow,1,0,0,6,9,2,2016
45,A-46,1,39.953625,-82.958954,0.01,25.0,88.0,Night,29.65,1.0,9.2,0.02,Snow,0,0,0,6,9,2,2016
46,A-47,0,40.053082,-83.049644,0.01,26.1,84.0,Night,29.63,2.0,12.7,0.0,Snow,1,0,0,6,9,2,2016
47,A-48,1,39.936873999999996,-82.878723,0.01,24.8,86.0,Night,29.64,1.0,8.1,0.01,Snow,0,0,0,6,9,2,2016
48,A-49,0,39.780643,-84.16349,0.01,23.0,86.0,Night,29.68,4.0,11.5,,Snow,1,0,0,6,9,2,2016
49,A-50,1,39.773193,-84.187454,0.01,23.0,86.0,Night,29.68,4.0,11.5,,Snow,0,0,0,6,9,2,2016
50,A-51,0,39.77858,-84.20468100000002,0.01,21.9,92.0,Night,29.71,2.0,12.7,0.01,Snow,0,0,0,6,9,2,2016
51,A-52,0,39.792988,-84.20607,0.01,21.9,92.0,Night,29.71,2.0,12.7,0.01,Snow,0,0,0,6,9,2,2016
52,A-53,1,39.770382,-84.194901,0.01,21.9,92.0,Night,29.71,2.0,12.7,0.01,Snow,0,0,0,6,9,2,2016
53,A-54,1,39.976397999999996,-83.119225,0.01,21.2,93.0,Night,29.66,1.5,13.8,,Snow,0,0,0,7,9,2,2016
54,A-55,1,39.6395,-84.23136099999998,0.01,21.0,85.0,Night,29.69,1.2,9.2,0.0,Snow,0,0,0,7,9,2,2016
55,A-56,0,39.232578000000004,-84.159286,0.01,21.0,93.0,Night,29.73,2.5,9.2,,Snow,0,0,0,7,9,2,2016
56,A-57,0,39.746593,-84.23912,0.01,21.9,92.0,Night,29.68,2.0,12.7,0.0,Snow,1,0,0,7,9,2,2016
57,A-58,0,39.742783,-84.182472,0.01,22.5,90.0,Day,29.73,1.2,9.2,0.0,Snow,0,0,0,7,9,2,2016
58,A-59,0,39.75452,-84.159279,0.01,22.5,90.0,Day,29.73,1.2,9.2,0.0,Snow,0,0,0,7,9,2,2016
59,A-60,0,39.749916,-84.139359,0.01,22.5,90.0,Day,29.73,1.2,9.2,0.0,Snow,0,0,0,7,9,2,2016
60,A-61,1,40.100903,-82.98410799999998,0.01,24.8,86.0,Day,29.65,1.8,8.1,0.0,Snow,0,0,0,7,9,2,2016
61,A-62,0,39.77280800000001,-84.201851,0.0,21.2,93.0,Day,29.69,2.0,12.7,0.0,Snow,0,0,0,7,9,2,2016
62,A-63,0,39.492484999999995,-84.131798,0.01,21.0,81.0,Day,29.7,1.2,9.2,0.0,Snow,0,0,0,8,9,2,2016
63,A-64,0,39.570904,-84.251724,0.01,21.0,81.0,Day,29.7,1.2,9.2,0.0,Snow,0,0,0,8,9,2,2016
64,A-65,0,39.834282,-82.74382,0.0,21.9,85.0,Day,29.7,0.8,11.5,0.0,Snow,0,0,0,8,9,2,2016
65,A-66,1,39.622787,-84.229858,0.01,21.0,81.0,Day,29.7,1.2,9.2,0.0,Snow,0,0,0,8,9,2,2016
66,A-67,1,39.429871,-84.079666,0.01,21.0,81.0,Day,29.7,1.2,9.2,0.0,Snow,0,0,0,8,9,2,2016
67,A-68,1,41.407391,-81.64676700000003,0.01,32.0,82.0,Day,29.58,10.0,12.7,,Other,0,0,0,8,9,2,2016
68,A-69,1,41.424403999999996,-81.57867399999998,0.01,32.0,82.0,Day,29.58,10.0,12.7,,Other,0,0,0,8,9,2,2016
69,A-70,1,39.89217,-83.039169,0.01,21.2,93.0,Day,29.69,5.0,11.5,,Other,0,0,0,10,9,2,2016
70,A-71,0,41.022358000000004,-83.650345,0.01,27.0,81.0,Day,29.64,2.5,19.6,0.0,Snow,1,0,1,11,9,2,2016
71,A-72,0,39.206806,-84.053253,0.0,16.2,81.0,Night,29.95,5.0,9.2,,Snow,0,0,0,6,10,2,2016
72,A-73,1,39.973797,-83.022285,0.01,15.8,73.0,Night,29.87,4.0,11.5,0.0,Snow,0,0,0,6,10,2,2016
73,A-74,0,40.048008,-82.86421999999997,0.0,15.8,73.0,Night,29.87,4.0,11.5,0.0,Snow,1,0,1,6,10,2,2016
74,A-75,0,39.814526,-84.021744,0.01,15.4,82.0,Night,29.95,7.0,13.8,0.0,Snow,0,0,1,6,10,2,2016
75,A-76,1,40.151196,-84.22003199999997,0.01,14.0,93.0,Day,29.89,7.0,15.0,,Snow,0,0,0,7,10,2,2016
76,A-77,1,39.954617,-82.844238,0.01,15.1,77.0,Day,29.92,1.0,8.1,0.01,Snow,0,0,0,7,10,2,2016
77,A-78,0,38.990551,-84.207497,0.01,15.8,88.0,Day,29.96,1.8,6.9,,Snow,0,0,0,8,10,2,2016
78,A-79,0,40.008995,-83.002678,0.0,16.0,81.0,Day,29.91,1.5,13.8,0.0,Snow,0,0,0,8,10,2,2016
79,A-80,0,39.077332,-84.225014,0.0,15.8,84.0,Day,29.97,4.0,11.5,,Snow,0,0,0,8,10,2,2016
80,A-81,0,39.955452,-82.795845,0.01,16.0,77.0,Day,29.93,1.0,9.2,0.0,Snow,0,0,0,8,10,2,2016
81,A-82,1,40.224585999999995,-82.929085,0.01,17.6,79.0,Day,29.87,3.0,11.5,,Other,0,0,0,9,10,2,2016
82,A-83,1,39.976397999999996,-83.119225,0.01,15.8,79.0,Day,29.91,1.5,10.4,,Snow,0,0,0,9,10,2,2016
83,A-84,1,39.98560300000001,-82.939247,0.01,17.1,77.0,Day,29.96,1.5,13.8,0.0,Snow,0,0,0,10,10,2,2016
84,A-85,1,41.040714,-81.61314399999998,0.01,19.9,81.0,Day,29.89,1.0,10.4,0.0,Snow,0,1,0,17,10,2,2016
85,A-86,1,41.083679,-81.579002,1.28,19.9,78.0,Night,29.87,4.0,12.7,0.0,Snow,0,0,0,18,10,2,2016
86,A-87,1,40.766890999999994,-82.42411,0.01,16.0,77.0,Night,29.97,7.0,11.5,0.0,Other,0,0,0,18,10,2,2016
87,A-88,1,41.422199,-81.843018,0.01,14.0,56.0,Night,30.14,9.0,11.5,0.0,Snow,0,0,0,5,11,2,2016
88,A-89,1,41.063995,-81.57294499999998,0.01,14.0,74.0,Night,30.03,4.0,10.4,0.0,Snow,0,0,0,5,11,2,2016
89,A-90,0,39.747753,-84.20558199999998,0.01,7.0,87.0,Night,30.22,10.0,8.1,,Cloudy,0,0,0,6,11,2,2016
90,A-91,0,38.99408,-84.142021,0.01,15.4,70.0,Night,30.18,10.0,8.1,,Other,0,0,0,6,11,2,2016
91,A-92,1,41.420818,-81.694008,0.01,17.1,59.0,Night,30.12,10.0,21.9,,Other,0,0,0,6,11,2,2016
92,A-93,0,40.030342,-83.030197,0.01,6.1,83.0,Night,30.22,10.0,8.1,,Cloudy,1,0,1,7,11,2,2016
93,A-94,0,39.858089,-82.827904,0.01,5.0,81.0,Night,30.2,10.0,3.5,,Clear,0,0,0,7,11,2,2016
94,A-95,1,41.112324,-81.60992399999998,0.01,12.0,80.0,Night,30.08,2.0,8.1,0.0,Snow,0,0,0,7,11,2,2016
95,A-96,0,39.994061,-82.729416,0.01,7.0,77.0,Day,30.24,10.0,8.1,,Other,0,0,0,7,11,2,2016
96,A-97,1,41.355396,-81.81926700000002,0.01,15.1,51.0,Day,30.18,10.0,18.4,,Cloudy,0,0,0,7,11,2,2016
97,A-98,0,39.687389,-84.23796800000002,0.0,9.0,77.0,Day,30.26,9.0,8.1,,Clear,0,0,0,7,11,2,2016
98,A-99,0,39.751038,-84.214325,0.01,7.5,87.0,Day,30.28,10.0,4.6,,Cloudy,0,0,0,8,11,2,2016
99,A-100,0,39.749916,-84.139359,0.01,7.5,87.0,Day,30.28,10.0,4.6,,Cloudy,0,0,0,8,11,2,2016
100,A-101,0,39.97509,-82.88460500000002,0.01,12.0,70.0,Day,30.27,9.0,5.8,,Other,1,0,1,8,11,2,2016
101,A-102,0,40.11195,-83.016663,0.48,12.0,77.0,Day,30.26,10.0,6.9,,Other,0,1,0,8,11,2,2016
102,A-103,1,41.424313,-81.57914,0.01,18.0,54.0,Day,30.16,10.0,25.3,,Other,0,0,0,8,11,2,2016
103,A-104,0,39.691864,-84.211166,0.0,12.0,73.0,Day,30.28,10.0,8.1,,Clear,0,0,0,9,11,2,2016
104,A-105,0,39.769172999999995,-84.20728299999998,0.0,10.9,77.0,Day,30.29,10.0,6.9,,Cloudy,1,0,0,9,11,2,2016
105,A-106,0,39.75452,-84.159279,0.01,13.6,74.0,Day,30.32,10.0,3.5,,Other,0,0,0,9,11,2,2016
106,A-107,1,39.874947,-83.003937,0.01,10.4,78.0,Day,30.25,10.0,4.6,,Other,0,1,0,9,11,2,2016
107,A-108,0,39.769596,-84.176964,0.01,13.6,74.0,Day,30.32,10.0,3.5,,Other,0,0,0,9,11,2,2016
108,A-109,0,39.776416999999995,-84.23026999999998,0.0,18.0,68.0,Day,30.32,10.0,10.4,,Cloudy,0,0,0,10,11,2,2016
109,A-110,0,39.64185,-84.227455,0.0,18.0,54.0,Day,30.31,10.0,6.9,,Clear,0,0,0,10,11,2,2016
110,A-111,0,39.76028400000001,-84.196434,0.01,18.5,62.0,Day,30.32,10.0,9.2,,Cloudy,1,0,1,11,11,2,2016
111,A-112,0,39.802528,-84.220093,0.01,19.9,65.0,Day,30.32,10.0,9.2,,Cloudy,0,0,0,12,11,2,2016
112,A-113,0,39.828781,-84.19839499999998,0.01,19.9,65.0,Day,30.32,10.0,9.2,,Cloudy,1,0,0,12,11,2,2016
113,A-114,0,39.733337,-84.180359,0.01,21.6,49.0,Day,30.3,10.0,6.9,,Cloudy,1,0,1,13,11,2,2016
114,A-115,0,39.759426,-84.138367,0.01,21.6,49.0,Day,30.3,10.0,6.9,,Cloudy,0,0,0,14,11,2,2016
115,A-116,0,39.78361500000001,-84.227531,0.0,21.0,57.0,Day,30.32,10.0,4.6,,Cloudy,0,0,0,15,11,2,2016
116,A-117,0,39.74004,-84.194923,0.01,21.0,57.0,Day,30.33,10.0,8.1,,Cloudy,1,0,1,16,11,2,2016
117,A-118,1,39.735199,-84.204948,0.01,21.0,57.0,Day,30.33,10.0,8.1,,Cloudy,0,0,0,17,11,2,2016
118,A-119,0,39.749035,-84.20474200000002,0.01,21.0,51.0,Night,30.34,10.0,8.1,,Cloudy,0,0,0,18,11,2,2016
119,A-120,1,39.969223,-82.984131,0.01,19.0,57.0,Night,30.34,9.0,8.1,0.0,Snow,0,0,0,19,11,2,2016
120,A-121,1,39.995369000000004,-82.985085,0.01,17.1,62.0,Night,30.35,10.0,3.5,0.0,Cloudy,0,0,0,19,11,2,2016
121,A-122,1,39.744873,-84.205025,0.01,17.1,68.0,Night,30.35,10.0,8.1,,Cloudy,0,0,0,20,11,2,2016
122,A-123,0,39.749786,-84.199493,0.0,26.6,59.0,Day,30.04,10.0,16.1,,Snow,1,0,1,16,12,2,2016
123,A-124,0,39.780331,-84.195076,0.01,25.5,66.0,Day,30.11,7.0,16.1,0.0,Snow,0,0,0,16,12,2,2016
124,A-125,1,40.109928000000004,-82.97820300000002,1.67,23.0,80.0,Day,30.03,3.0,12.7,0.0,Snow,0,1,0,17,12,2,2016
125,A-126,1,40.11195,-83.016663,0.94,19.0,71.0,Night,30.14,5.0,24.2,0.0,Snow,0,1,0,20,12,2,2016
126,A-127,1,40.112156,-83.035072,0.94,19.0,71.0,Night,30.14,5.0,24.2,0.0,Snow,0,1,0,20,12,2,2016
127,A-128,1,39.871761,-82.933449,2.79,19.9,62.0,Night,30.13,10.0,23.0,,Cloudy,0,0,0,20,12,2,2016
128,A-129,1,39.934517,-82.86065699999997,0.01,16.0,68.0,Night,30.25,10.0,13.8,0.0,Cloudy,0,0,0,23,12,2,2016
129,A-130,1,40.02404,-82.99479699999998,0.01,10.0,44.0,Day,30.54,10.0,11.5,,Cloudy,0,0,0,11,13,2,2016
130,A-131,1,41.014015,-81.932777,0.01,8.1,61.0,Day,30.48,10.0,13.8,,Cloudy,0,0,0,11,13,2,2016
131,A-132,0,40.575069,-82.528145,0.01,7.0,58.0,Day,30.49,10.0,11.5,,Clear,0,0,0,11,13,2,2016
132,A-133,1,39.996578,-84.21680500000002,0.01,10.9,51.0,Day,30.57,10.0,9.2,,Cloudy,0,0,0,11,13,2,2016
133,A-134,1,39.986323999999996,-82.985458,0.01,12.9,43.0,Day,30.53,10.0,16.1,,Cloudy,0,1,0,12,13,2,2016
134,A-135,1,40.013062,-82.90213,0.01,12.9,43.0,Day,30.53,10.0,16.1,,Cloudy,0,0,0,12,13,2,2016
135,A-136,1,39.981709,-82.98436,0.01,10.0,70.0,Day,30.52,10.0,5.8,,Cloudy,0,0,0,10,14,2,2016
136,A-137,1,39.953022,-82.99889399999998,0.01,12.9,65.0,Day,30.5,10.0,10.4,,Cloudy,0,0,0,10,14,2,2016
137,A-138,1,39.973812,-82.983162,0.01,12.9,65.0,Day,30.5,10.0,10.4,,Cloudy,0,0,0,10,14,2,2016
138,A-139,1,39.978305999999996,-82.852554,0.01,15.8,79.0,Night,30.24,0.5,10.4,0.0,Snow,0,1,0,18,14,2,2016
139,A-140,1,39.917412,-83.014236,0.01,17.6,86.0,Night,30.23,1.0,8.1,,Snow,0,0,0,19,14,2,2016
140,A-141,0,39.469582,-83.712799,0.01,23.0,96.0,Night,30.09,2.5,8.1,,Other,0,0,0,4,15,2,2016
141,A-142,0,39.63958,-84.234818,0.01,23.0,92.0,Night,29.97,1.5,8.1,,Other,0,0,0,5,15,2,2016
142,A-143,1,39.975986,-82.996307,0.71,21.9,89.0,Night,30.06,5.0,5.8,0.0,Other,0,1,0,5,15,2,2016
143,A-144,1,39.951401000000004,-83.040161,0.01,22.8,96.0,Night,30.02,3.0,8.1,,Snow,0,0,0,6,15,2,2016
144,A-145,0,39.96888,-83.022263,2.04,23.0,86.0,Night,30.03,3.0,5.8,0.0,Other,0,0,0,7,15,2,2016
145,A-146,1,39.804295,-84.178917,0.01,23.0,96.0,Night,30.03,0.2,5.8,0.0,Other,0,0,0,7,15,2,2016
146,A-147,0,39.831444,-84.097267,0.0,24.1,98.0,Night,30.04,1.5,5.8,0.0,Snow,0,0,0,7,15,2,2016
147,A-148,1,39.890587,-83.03538499999998,0.01,24.8,100.0,Night,30.01,1.5,5.8,,Snow,0,0,0,7,15,2,2016
148,A-149,1,39.770977,-84.183914,0.01,24.8,100.0,Night,30.04,1.5,2.3,,Other,0,0,0,7,15,2,2016
149,A-150,0,39.808121,-84.173477,0.01,24.1,96.0,Night,30.02,0.8,4.6,0.0,Other,0,0,0,7,15,2,2016
150,A-151,0,41.410461,-81.725853,0.0,21.0,85.0,Day,30.1,4.0,11.5,0.0,Snow,0,0,0,7,15,2,2016
151,A-152,1,39.747753,-84.20558199999998,0.01,24.1,96.0,Day,30.02,0.8,4.6,0.0,Other,0,0,0,7,15,2,2016
152,A-153,1,39.6395,-84.23136099999998,0.01,26.1,92.0,Day,30.01,4.0,8.1,,Other,0,0,0,7,15,2,2016
153,A-154,0,39.945370000000004,-82.88744399999999,0.01,24.1,91.0,Day,30.06,1.0,5.8,0.01,Other,1,0,0,8,15,2,2016
154,A-155,0,39.79813,-84.24479699999998,0.01,25.0,96.0,Day,29.99,0.8,6.9,0.0,Other,1,0,0,8,15,2,2016
155,A-156,0,40.081715,-82.89576,0.01,24.1,91.0,Day,30.06,1.0,5.8,0.01,Other,1,0,0,8,15,2,2016
156,A-157,0,41.111031,-81.550728,0.0,23.0,85.0,Day,30.03,2.0,5.8,,Other,0,0,0,8,15,2,2016
157,A-158,0,40.082015999999996,-82.937119,0.01,26.1,88.0,Day,30.06,1.0,5.8,0.01,Other,1,0,0,8,15,2,2016
158,A-159,0,39.763363,-84.15535,0.0,27.0,98.0,Day,30.04,2.5,3.5,0.0,Other,0,0,0,8,15,2,2016
159,A-160,0,39.740063,-84.191833,0.01,32.0,100.0,Day,29.99,1.5,5.8,,Other,1,0,1,11,15,2,2016
160,A-161,0,39.99876,-82.625221,0.01,32.0,85.0,Day,29.99,5.0,8.1,,Other,0,0,0,12,15,2,2016
161,A-162,0,39.740063,-84.191833,0.01,32.0,100.0,Day,29.98,4.0,5.8,,Other,1,0,1,12,15,2,2016
162,A-163,0,39.99519,-82.86859100000002,0.01,30.9,89.0,Day,29.99,2.0,8.1,0.0,Cloudy,1,0,0,12,15,2,2016
163,A-164,0,41.395804999999996,-81.935562,0.0,33.1,82.0,Day,29.95,7.0,5.8,,Other,0,0,0,17,15,2,2016
164,A-165,0,39.887058,-82.883263,0.01,33.6,94.0,Night,29.86,7.0,3.5,,Other,1,0,0,18,15,2,2016
165,A-166,1,39.824703,-83.141228,0.01,32.9,100.0,Night,29.86,1.8,8.1,,Other,0,0,0,19,15,2,2016
166,A-167,0,40.977515999999994,-82.790749,0.0,32.0,100.0,Night,29.88,0.5,5.8,,Fog,0,0,0,21,15,2,2016
167,A-168,1,40.11195,-83.016663,0.01,32.0,100.0,Night,29.71,1.2,8.1,0.04,Snow,0,1,0,4,16,2,2016
168,A-169,1,41.150993,-81.631393,0.01,34.0,89.0,Night,29.67,1.2,6.9,0.03,Snow,0,1,0,4,16,2,2016
169,A-170,1,39.824703,-83.141228,0.01,32.2,100.0,Night,29.7,3.0,6.9,,Snow,0,0,0,5,16,2,2016
170,A-171,0,39.885872,-82.806198,0.0,32.0,99.0,Night,29.69,2.5,5.8,,Snow,0,0,0,5,16,2,2016
171,A-172,1,40.11195,-83.016663,0.01,33.1,96.0,Night,29.71,5.0,8.1,0.0,Other,0,1,0,6,16,2,2016
172,A-173,1,40.09917100000001,-83.134499,0.01,33.1,96.0,Night,29.71,5.0,8.1,0.0,Other,0,0,0,6,16,2,2016
173,A-174,0,40.012828999999996,-83.109131,0.01,32.0,96.0,Night,29.71,5.0,11.5,,Other,1,0,0,6,16,2,2016
174,A-175,0,40.048183,-82.945183,0.01,32.0,92.0,Night,29.71,2.0,10.4,0.01,Other,0,0,0,6,16,2,2016
175,A-176,0,39.77792,-84.246872,0.0,30.9,96.0,Night,29.78,2.0,10.4,,Other,0,0,0,6,16,2,2016
176,A-177,1,39.917412,-83.014236,1.65,32.2,100.0,Night,29.69,4.0,6.9,,Other,0,0,0,6,16,2,2016
177,A-178,1,41.313235999999996,-81.810959,0.01,32.0,92.0,Night,29.73,1.8,8.1,0.02,Snow,0,0,0,6,16,2,2016
178,A-179,0,39.691998,-84.043655,0.01,32.0,88.0,Night,29.76,3.0,8.1,,Other,0,0,0,6,16,2,2016
179,A-180,0,39.852416999999996,-82.93860600000002,0.01,32.0,99.0,Night,29.7,7.0,8.1,,Other,1,0,0,6,16,2,2016
180,A-181,1,39.956909,-83.044914,0.01,32.0,100.0,Night,29.72,3.0,6.9,,Other,0,0,0,7,16,2,2016
181,A-182,0,39.602947,-82.951836,0.01,32.0,99.0,Night,29.71,7.0,10.4,,Other,0,0,0,7,16,2,2016
182,A-183,0,39.89188400000001,-83.087547,0.01,32.0,100.0,Night,29.72,3.0,6.9,,Other,0,0,0,7,16,2,2016
183,A-184,0,39.78508400000001,-84.210564,0.01,30.0,100.0,Day,29.75,2.0,10.4,,Other,1,0,0,7,16,2,2016
184,A-185,1,40.1105,-82.977524,0.01,32.0,96.0,Day,29.75,3.0,9.2,,Other,0,0,0,7,16,2,2016
185,A-186,0,40.757088,-82.50975,0.01,30.0,100.0,Day,29.73,5.0,10.4,0.0,Other,0,0,0,7,16,2,2016
186,A-187,1,41.063995,-81.57294499999998,0.01,34.0,89.0,Day,29.68,1.8,6.9,0.0,Snow,0,0,0,7,16,2,2016
187,A-188,1,40.004749,-82.867638,0.01,32.0,88.0,Day,29.75,5.0,8.1,,Other,0,0,0,7,16,2,2016
188,A-189,0,40.033955,-83.000862,0.01,32.0,96.0,Day,29.75,3.0,9.2,,Other,0,0,0,8,16,2,2016
189,A-190,0,38.929512,-83.495262,1.65,30.9,100.0,Day,29.76,1.0,9.2,,Other,0,0,0,8,16,2,2016
190,A-191,1,39.973419,-83.081558,0.01,32.0,100.0,Day,29.77,2.5,3.5,,Other,0,0,0,8,16,2,2016
191,A-192,0,39.797958,-84.255135,0.01,30.0,96.0,Day,29.79,1.5,6.9,,Other,1,0,0,8,16,2,2016
192,A-193,1,40.057369,-82.903717,0.01,32.0,88.0,Day,29.78,4.0,8.1,,Other,0,0,0,8,16,2,2016
193,A-194,0,39.847927,-82.848274,0.01,32.0,97.0,Day,29.76,3.0,5.8,,Other,0,0,0,8,16,2,2016
194,A-195,0,40.051949,-83.03280600000002,0.01,32.0,96.0,Day,29.78,2.5,5.8,,Other,0,0,0,8,16,2,2016
195,A-196,0,40.051949,-83.03280600000002,0.01,33.1,92.0,Day,29.77,2.5,10.4,,Other,0,0,0,10,16,2,2016
196,A-197,0,39.772822999999995,-84.135612,0.0,31.1,88.0,Day,29.86,6.0,5.8,,Other,0,0,0,10,16,2,2016
197,A-198,0,39.673203,-84.221886,0.01,30.9,76.0,Day,29.81,6.0,9.2,,Other,1,0,0,11,16,2,2016
198,A-199,0,39.76244000000001,-84.20506999999998,0.01,30.0,92.0,Day,29.82,1.8,5.8,0.0,Snow,1,0,1,11,16,2,2016
199,A-200,0,39.79166,-84.169342,0.0,31.1,88.0,Day,29.86,6.0,5.8,,Other,0,0,0,11,16,2,2016
